Conf. Session	Date	Time CST Local Time (UTC/GMT -6 hours )	Poster Session	Virtual Session 	Paper Type 	Track	Board 	Paper ID	Paper Title	1st Author	Status	Changed From	Changed To	Status of Change	Authors	Session	Change To	Change From	Change To	Status of Change																																																			
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Semantics: Lexical		253	Adjusting Interpretable Dimensions in Embedding Space with Human Judgments	['Katrin Erk', 'Marianna Apidianaki']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		284	Social Meme-ing: Measuring Linguistic Variation in Memes	['Naitian Zhou', 'David Jurgens', 'David Bamman']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		322	Show Your Work with Confidence: Confidence Bands for Tuning Curves	['Nicholas Lourie', 'Kyunghyun Cho', 'He He']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		335	Can LLM’s Generate Human-Like Wayfinding Instructions? Towards Platform-Agnostic Embodied Instruction Synthesis	['Vishnu Sashank Dorbala', 'Sanjoy Chowdhury', 'Dinesh Manocha']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		421	Beyond Borders: Investigating Cross-Jurisdiction Transfer in Legal Case Summarization	['Santosh T.Y.S.S', 'Vatsal Venkatkrishna', 'Saptarshi Ghosh', 'Matthias Grabmair']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		424	Automatic Restoration of Diacritics for Speech Data Sets	['Sara Shatnawi', 'Sawsan Alqahtani', 'Hanan Aldarmaki']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Semantics: Lexical		435	A Systematic Comparison of Contextualized Word Embeddings for Lexical Semantic Change	['Francesco Periti', 'Nina Tahmasebi']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		437	Rectifying Demonstration Shortcut in In-Context Learning	['Joonwon Jang', 'Sanghwan Jang', 'WONBIN KWEON', 'Minjin Jeon', 'Hwanjo Yu']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		446	ODD: A Benchmark Dataset for the Natural Language Processing Based Opioid Related Aberrant Behavior Detection	['SUNJAE KWON', 'Xun Wang', 'Weisong Liu', 'Emily Druhl', 'Minhee L. Sung', 'Joel I. Reisman', 'Wenjun Li', 'Robert D Kerns', 'William C. Becker', 'hong yu']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		450	The Promises and Pitfalls of Using Language Models to Measure Instruction Quality in Education	['Paiheng Xu', 'Jing Liu', 'Nathan D Jones', 'Julie Cohen', 'Wei Ai']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		454	Differentially Private Next-Token Prediction of Large Language Models	['James Flemings', 'Meisam Razaviyayn', 'Murali Annavaram']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		455	Improving Adversarial Data Collection by Supporting Annotators: Lessons from GAHD, a German Hate Speech Dataset	['Janis Goldzycher', 'Paul Rottger', 'Gerold Schneider']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		490	Rehearsal-Free Modular and Compositional Continual Learning for Language Models	['Mingyang Wang', 'Heike Adel', 'Lukas Lange', 'Jannik Strötgen', 'Hinrich Schuetze']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		496	Llama meets EU: Investigating the European political spectrum through the lens of LLMs	['Ilias Chalkidis', 'Stephanie Brandl']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		538	Detecting Bipolar Disorder from Misdiagnosed Major Depressive Disorder with Mood-Aware Multi-Task Learning	['Daeun Lee', 'Hyolim Jeon', 'Sejung Son', 'Chaewon Park', 'Ji hyun An', 'Seungbae Kim', 'Jinyoung Han']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Phonology, Morphology and Word Segmentation		547	Revisiting subword tokenization: A case study on affixal negation in large language models	['Thinh Hung Truong', 'Yulia Otmakhova', 'Karin Verspoor', 'Trevor Cohn', 'Timothy Baldwin']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		568	CASA: Causality-driven Argument Sufficiency Assessment	['Xiao Liu', 'Yansong Feng', 'Kai-Wei Chang']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		587	Carpe diem: On the Evaluation of World Knowledge in Lifelong Language Models	['Yujin Kim', 'Jaehong Yoon', 'Seonghyeon Ye', 'Sangmin Bae', 'Namgyu Ho', 'Sung Ju Hwang', 'Se-Young Yun']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		599	Mapping Long-term Causalities in Psychiatric Symptomatology and Life Events from Social Media	['Siyuan Chen', 'Meilin Wang', 'Minghao Lv', 'Zhiling Zhang', 'Juqianqian', 'Dejiyangla', 'Yujia Peng', 'Kenny Q. Zhu', 'Mengyue Wu']						Posters B6																																																							
